grayscale16,#000000,#181818,#282828,#383838,#474747,#565656,#646464,#717171,#7e7e7e,#8c8c8c,#9b9b9b,#ababab,#bdbdbd,#d1d1d1,#e7e7e7,#ffffff
jonk16,#242e36,#455951,#798766,#b7bca2,#d6d6d6,#f4f0ea,#6988a1,#a1b0be,#595b7c,#95819d,#c9a5a9,#f4dec2,#704f4f,#b7635b,#e39669,#ebc790
console16,#ff032b,#800034,#ffff0d,#ff8f00,#0aff0a,#007062,#0dffff,#3c80db,#2929ff,#2d006e,#ff08ff,#6e0085,#260a34,#000000,#ffffff,#7d7da3
reha16,#010e05,#122303,#2b2c21,#3b3453,#673d49,#1e624e,#943b38,#8d6148,#9b6e70,#3b884c,#b57e67,#bc9b72,#51b09d,#d4b0a2,#d3cfb1,#f5e1e8
retrocal,#2e1b37,#4e53a2,#7394ba,#e6e1cc,#28524e,#3a7e4c,#7da446,#edd15a,#4b1d45,#8c315d,#cf4f4f,#f6788d,#6a5154,#a45a41,#d87e46,#b49a8d
sulu,#ee70b5,#eeb570,#b5ee70,#70eeb5,#70b5ee,#b570ee,#babad3,#474751,#ffbcec,#ffecbc,#ecffbc,#bcffec,#bcecff,#ecbcff,#e3e3f2,#8e8ea3
picodb,#120919,#1b1f4b,#592942,#106836,#854a2f,#4d4b44,#a4b2bf,#deeed6,#d04648,#ed8f3b,#ebd951,#61ad36,#5190c8,#776e87,#e384a2,#e5bba7
cthulhu16,#1d2531,#a5e5c5,#f0fafd,#52a593,#2b6267,#1e303a,#3b4251,#527b92,#7dc1c1,#c7fff3,#b8cbd8,#7e8da1,#8fa990,#e5debb,#cea061,#854731
hilda,#e2d9e4,#6c9a9a,#52675d,#37403b,#f3c893,#e5987d,#cb5e5c,#72334c,#c0a5a9,#bf7d85,#804d53,#403038,#7c8fb2,#4c5274,#2e334d,#1f2025
rampy16,#252945,#515369,#848fa1,#d9d9cc,#a13567,#e06767,#7d309c,#bd46b7,#4e4cc7,#5d74cf,#7994d4,#79bee0,#63b04f,#a7d950,#d4996a,#d9cf91
mem16,#29213b,#363d69,#7f4a3d,#d05757,#fc9849,#ffd559,#8ccc4b,#3e9d4d,#3e6278,#4789b2,#99aeb4,#88dfd7,#fff9b6,#ffbe97,#f6779c,#9f57af
tymm16,#deceb4,#9cabb1,#808078,#534a3b,#e09b4d,#a17d37,#785c3b,#3e2b22,#bb8f6b,#7a6260,#4b4158,#bb643a,#8d3e29,#5e292f,#799240,#63602e
